project,mode0,mode1,nComponents
covid19-consensus-construction,7.14,4.17,3
aspicov,27.27,19.45,2
covid19-sequence-analysis,7.14,4.17,3
covid19-variation,7.14,4.17,3
covid19-variation-pe-artic-illumina,7.14,4.17,3
v-pipe,37.5,29.17,1
covid19-artic-ont,7.14,4.17,3
virify,37.5,29.17,1
scipion-workflow,27.27,19.45,2
